Restaurant Name,Longitude,Latitude,Average Cost for two,Aggregate rating,Cuisines
Calamari,73.7666682,15.5062047,800,4.2,"Goan, Seafood, Chinese"
The Fisherman's Wharf,73.95088889,15.15794444,1100,4.6,"Continental, Goan, Seafood, North Indian"
LPK Waterfront,73.7834595,15.51315,1375,3.7,Finger Food
Ritz Classic,73.82691111,15.49860278,600,4.5,"Goan, Seafood, North Indian"
The Black Sheep Bistro,73.825364,15.496162,1375,4.7,"Seafood, Continental, European, German"
Cafe Al Fresco by Cantina Bodega,73.827423,15.49395,800,4.3,Cafe
The Fisherman's Wharf,0,0,1100,4.4,"Continental, Goan, Seafood, North Indian"
Antares,0,0,1375,4.2,Seafood
K Lab,77.0393103,28.4248315,350,3.4,"Cafe, Beverages"
Pind Balluchi,77.0392204,28.4249125,800,2.7,"North Indian, Mughlai"
Punjab Grill,77.0971178,28.5030769,1375,4.3,"North Indian, Mughlai"
Zambar,77.0971853,28.5026128,1375,4,"South Indian, Seafood, Kerala"
Cakes & More,77.0420091,28.5114162,250,3,Bakery
Kwality Wall's Swirl's,77.0419641,28.5114567,200,3,Ice Cream
Yo! Dimsum,77.0420091,28.5115059,200,3,Chinese
Mx Corn,77.0418253,28.5114067,100,0,Fast Food
Red,77.08785083,28.44070881,1200,3,"Japanese, Thai, Chinese"
Rocketchefs,77.0855313,28.4423933,500,3.1,"Pizza, Desserts"
The Fresh Chicken Store,77.0757671,28.4418793,350,2.9,"Raw Meats, Fast Food"
Achoos Food Corner,77.0787681,28.4347278,450,0,"South Indian, Chinese, Mughlai"
Aha Bites,77.0898569,28.4308575,300,0,"Fast Food, North Indian"
Ancient Spice,77.0780576,28.432548,300,0,"North Indian, Chinese"
Chimney - The Takeaway,77.078405,28.440599,500,0,"North Indian, South Indian, Chinese"
Costa Coffee,77.0735119,28.4319102,600,0,Cafe
Good to Go,77.0738947,28.436274,500,0,Raw Meats
Gopi Sweets & Caters,77.0787448,28.4346864,100,0,"Mithai, North Indian"
Late Night Food,0,0,500,0,"North Indian, Chinese, Fast Food"
Lavi Foji Dhaba,77.081492,28.4406523,200,0,North Indian
Narayan Fast Food Home,77.0762723,28.4353217,350,0,"North Indian, Chinese"
OMG Kitchenz,77.0728193,28.4370922,300,0,"South Indian, Street Food"
OMG Tiffinz,77.0728605,28.4371161,250,0,"North Indian, Chinese"
Sardarji Chicken Point,77.0754948,28.4394519,500,0,"North Indian, Chinese"
Solty Hotel,77.0837565,28.430634,200,0,North Indian
Tanishk Gourmet Indian,0,0,800,0,"North Indian, Mughlai, Seafood"
The Burger Chef,77.0756612,28.4419493,350,0,Fast Food
Club Tokyo - Best Western Skycity Hotel,77.0347151,28.4580879,1375,2.8,Japanese
Lattitude - Skycity Hotel,77.0349627,28.4582412,1375,2.9,"North Indian, Chinese, Continental"
Bisque Bakery,77.0857204,28.4807592,500,3.9,"Bakery, Fast Food"
Behrouz Biryani,77.1006623,28.4434069,600,3.4,Biryani
Domino's Pizza,77.1010066,28.4428671,700,3.4,"Pizza, Fast Food"
Giani,77.1009167,28.4430378,400,3.4,"Ice Cream, Desserts"
PizzaVito,77.1007369,28.4431102,900,3.3,"Italian, Pizza, Lebanese"
Shawarma House,77.1010965,28.4426964,500,3.4,Lebanese
Subway,77.1009167,28.4430378,500,2.5,"American, Fast Food, Salad, Healthy Food"
Asian Bistro,77.1008268,28.4429395,1375,3.8,"Chinese, Thai, North Indian, Japanese"
BBQ Factory,77.1009883,28.442717,1375,3.9,North Indian
Faaso's,77.1005772,28.443403,600,3.6,"North Indian, Fast Food"
Chaayos,77.1007871,28.4431891,400,4.3,"Cafe, Tea"
Mosaic - Country Inn & Suites,77.0676442,28.4619878,1375,3.8,"North Indian, Asian, Continental"
60 ML - Country Inn & Suites by Carlson,77.0376911,28.468336,1000,3,Finger Food
Mosaic - Country Inn & Suites by Carlson,77.037781,28.4684343,1375,3.5,"Continental, North Indian, Chinese"
Big Shot Bar - Country Inn & Suites,77.0918351,28.5092246,1375,3.5,"Chinese, Italian, North Indian"
Mosaic - Country Inn & Suites By Carlson,77.0684986,28.3349418,1300,3.4,"North Indian, Chinese, Italian, Continental"
Downtown Kitchen & Bar - Courtyard by Marriott,77.080367,28.460925,1375,3.2,"Chinese, North Indian, Italian"
Courtyard Grill - Courtyard by Marriott,77.080367,28.460925,1375,0,"Chinese, North Indian, Italian"
Di Ghent Boulangerie,77.0835375,28.46836827,1375,3.9,"Cafe, Belgian"
Khyen Chyen,77.0832475,28.4683741,800,3.7,Kashmiri
The Pint Room,77.0830226,28.4683973,1375,3.7,"Finger Food, Continental, Italian"
Tughlaq,77.08390966,28.46844136,1000,3.5,"North Indian, Mughlai, Chinese, Seafood"
Big Wong XL,77.0834723,28.4681716,1375,4,"Chinese, Thai, Sushi"
Bunker,77.0831126,28.4682267,1300,4.2,"Continental, North Indian, Chinese, Italian"
Culture Cafe,77.0837421,28.4681975,1375,4.2,"Mediterranean, Continental"
Nowhere Terrace Brewpub Cafe,77.083048,28.468314,1375,4.1,"Continental, European, Asian, North Indian, Chinese, Italian"
Cafe G - Crowne Plaza,77.0600891,28.4684326,1375,3.9,"North Indian, Continental, Chinese"
Wildfire - Crowne Plaza,77.0599093,28.4684152,1375,3.7,South American
Isabella,77.0928243,28.4937229,700,2.8,"North Indian, Mughlai, Chinese"
Fatburger,77.0882416,28.4947571,1000,3.3,"American, Mexican"
Burma Burma,77.0887329,28.4946295,1375,4.6,"Asian, Burmese"
Pier 38,77.0886429,28.4950691,1200,4.6,"Persian, Arabian, Lebanese, North Indian"
Yum Yum Cha,77.0885987,28.4950762,1375,4.5,"Chinese, Japanese, Sushi"
Amici Cafe,77.0889781,28.4955391,1200,3.7,"Cafe, Italian, Pizza"
Au Bon Pain,77.088508,28.494832,600,3.7,"Cafe, Bakery"
California Pizza Kitchen,77.0886879,28.4952975,1375,3.7,"Pizza, Italian"
Chai Point,77.0888677,28.4952251,200,3.7,"Tea, Fast Food"
Cherry Comet,77.0888677,28.4953148,400,3.6,"Ice Cream, Desserts"
Circus,77.0888677,28.495763,1250,3.9,"North Indian, Chinese, Italian"
Dunkin' Donuts,77.0887329,28.4951674,600,3.8,"Burger, Desserts, Fast Food"
Holy Smoke,77.0883732,28.4947742,1375,3.6,"Steak, American"
Italiano,77.088598,28.4951096,1375,3.6,Italian
Krispy Kreme,77.0886879,28.4952079,350,3.9,"Desserts, Beverages"
Not Just Paranthas,77.088598,28.4951096,1100,3.6,North Indian
Oh! Calcutta,77.0886879,28.4952079,1375,3.8,"Bengali, Seafood"
Olive Bistro,77.0878786,28.4945922,1375,3.9,"Mediterranean, Italian, European"
Pita Pit,77.0886429,28.4950691,600,3.9,"Healthy Food, Salad"
Raasta,77.0883732,28.4953121,1375,3.8,"Continental, Italian"
Red Mango,77.0886879,28.4952079,700,3.6,"Cafe, Desserts"
Rred Hot Asian Bistro,77.0886879,28.4953871,1375,3.5,"Chinese, Japanese, Thai, Asian"
Smaaash,77.0889127,28.4950054,1375,3.9,"North Indian, Thai, Continental"
Starbucks,77.0891982,28.4956457,700,3.9,Cafe
Sutra Gastropub,77.0883282,28.4948147,1375,3.8,"Mediterranean, European, American, North Indian"
Taco Bell,77.0883113,28.4942639,550,3.8,"Mexican, Fast Food"
The People & Co.,77.0887778,28.4949476,1375,3.7,"Continental, Italian"
Theobroma,77.0886879,28.4947597,600,3.8,"Bakery, Cafe"
Wendy's,77.0875189,28.4949162,400,3.9,"Burger, Fast Food"
The Wine Company,77.0890476,28.4962285,1375,2.4,"Italian, European"
Cafe Delhi Heights,77.0886879,28.4952079,1375,4,"Continental, American, Italian, Seafood, North Indian, Cafe"
Cyber Hub Social,77.088508,28.4939356,1375,4.3,"Continental, American, Asian, North Indian"
Delifrance - The France Cafe Bakery,77.08856095,28.49427139,800,4,"Cafe, Bakery, Desserts"
Dhaba By Claridges,77.0886879,28.4953871,1375,4,North Indian
Farzi Cafe,77.0886879,28.4952079,1375,4.3,Modern Indian
Hard Rock Cafe,77.088508,28.4949217,1375,4.1,"Mediterranean, Mexican, North Indian, American"
Instapizza,77.0882383,28.494089,900,4,"Pizza, Fast Food"
Made In Punjab,77.088598,28.4951096,1375,4,"North Indian, Mughlai"
Nando's,77.0888677,28.4954941,1200,4,"Portuguese, African"
Quaff,77.0880651,28.4944224,1375,4.1,"American, Italian, Chinese"
SodaBottleOpenerWala,77.088508,28.494832,1300,4,"Parsi, Iranian"
The Grill Mill,77.0884689,28.4940704,1375,4,"North Indian, Continental, Asian"
Knight Rider,77.0933407,28.4877882,1200,3.1,"North Indian, Continental"
Chaayos,77.0921049,28.4897992,400,3.8,"Cafe, Tea"
Nooba,77.0875639,28.4942482,1375,3.8,Chinese
Domino's Pizza,77.0890476,28.4945253,700,2.4,"Pizza, Fast Food"
Indigo Delicatessen,77.0884181,28.4940166,1375,4.2,"European, Continental"
Escape Terrace Bar Kitchen,77.0822133,28.4671541,1375,3.4,Finger Food
Kwaliti,77.0817637,28.4672902,700,3.3,"North Indian, Chinese, Fast Food"
Subway,77.0814039,28.4676142,500,2.5,"American, Fast Food, Salad, Healthy Food"
Burger Point,77.0823032,28.4672524,300,3.8,"Burger, Fast Food"
Chaat Chowk,77.0821234,28.4670558,350,3.7,Street Food
Chef Style,77.0817637,28.4673798,700,3.8,"North Indian, Mughlai"
Delhicacy,77.0823032,28.4674317,350,3.8,"Street Food, Fast Food, North Indian"
Dimsum & Co.,77.0818119,28.4674661,650,3.9,Chinese
Instapizza,77.0821234,28.467504,900,3.6,"Pizza, Fast Food"
L'Opera,77.0824381,28.4671309,400,3.8,"Bakery, Desserts, Fast Food"
Lazeez Food,77.081314,28.4670676,800,3.5,"Mughlai, North Indian"
Le Marche Sugar & Spice Cafe,77.0812241,28.4675073,700,3.5,"Cafe, Italian, Fast Food"
The Breakfast Club,77.0819435,28.4671282,500,3.5,"Continental, North Indian"
Sugar & Spice - Le Marche,77.0812241,28.4671487,800,2.4,"Bakery, Fast Food"
Crudo Juicery,77.0819435,28.4674868,400,4.3,"Beverages, Salad"
Fork with Stick,77.0823032,28.4674317,800,4,Chinese
Uptown Fresh Beer Cafe,77.0812241,28.4675073,1375,4.1,"Finger Food, North Indian, Italian, European, Continental"
Barista,77.09313545,28.47582155,650,3.2,Cafe
Cafe Coffee Day,77.09359512,28.47548941,450,2.6,Cafe
Domino's Pizza,77.09308315,28.47577587,700,2.8,"Pizza, Fast Food"
Italiano,77.09323503,28.47573225,1375,3,Italian
McDonald's,77.09302582,28.47586163,500,2.6,"Fast Food, Burger"
Parantha Gurus,77.09312875,28.47574493,500,3.3,North Indian
Pizza Hut Delivery,77.09333964,28.47626303,800,2.8,"Italian, Pizza, Fast Food"
Sibang Bakery,77.09336612,28.47581065,300,3.3,"Bakery, Desserts, Fast Food"
Sonya Bakery Cafe,77.093094,28.4759094,350,3.3,"Bakery, Desserts, Beverages"
Subway,77.09308684,28.47568922,500,3.1,"American, Fast Food, Salad, Healthy Food"
Viva Hyderabad,77.09311534,28.4756627,600,2.5,"Biryani, North Indian"
7 Barrel Brew Pub,77.09335439,28.4761926,1375,3.9,"North Indian, Continental, Chinese, Japanese, Italian, Thai"
Wai Yu Mun Ching,77.09319044,28.47567184,800,3.5,"Chinese, Thai"
Baskin Robbins,77.0930171,28.4757632,300,0,Ice Cream
KFC,77.09351432,28.47650794,500,2.2,"American, Fast Food, Burger"
Burmese Kitchen Plus,77.1002873,28.4778552,800,3.4,"Burmese, Chinese, Thai"
Drinks Come True,77.0993882,28.4693415,150,3.1,"Beverages, Juices"
Eat All Nite,77.0935886,28.4726847,800,3.2,"North Indian, Chinese, Fast Food"
Frontier,77.0997478,28.4660588,200,2.9,Bakery
GenY Cuisines,77.0922847,28.4733215,250,3,"Chinese, Mexican, Fast Food, Continental"
K Raga's,77.0923747,28.4733301,600,2.9,"North Indian, Mughlai"
Kangri,77.07935278,28.46121389,750,3.4,Kashmiri
Makhmali Kebabs,77.0992983,28.4661053,550,3.2,Mughlai
Masala Ville,77.0984902,28.471636,650,3.2,"North Indian, Mughlai"
Night Food Xprs,77.0993882,28.4693415,650,3.1,"Chinese, North Indian"
Roti Boti,77.092856,28.481301,700,2.9,"North Indian, Mughlai, Fast Food"
Sama Chicken Biryani,77.0948286,28.48187686,200,2.9,"Biryani, North Indian"
Subway,77.0997478,28.4657898,500,2.8,"American, Fast Food, Salad, Healthy Food"
The Rolling Pin Bakery,77.0983092,28.4679828,500,3.1,Bakery
Weird Time Food,77.074163,28.477689,600,3.1,"Continental, Fast Food"
Twigly,77.0923421,28.4803156,500,4.6,"Continental, Italian, Pizza, Asian"
Asian Haus,77.1003687,28.4778418,1375,3.9,"Chinese, Thai, Asian, Malaysian, Vietnamese, Japanese"
Beyond Breads,77.0922847,28.4733215,200,3.8,"Bakery, Desserts"
Biryani By Kilo,77.1002873,28.4780345,700,3.9,"Biryani, Mughlai"
Captain Grub,77.0997478,28.4660588,1000,3.8,"American, Fast Food"
Pita Pit,77.1002873,28.4778552,600,3.5,"Healthy Food, Salad"
Rawleaf,77.0957016,28.4694359,700,3.6,"Healthy Food, Salad"
Sushi Haus,77.1003772,28.4778638,1300,3.8,"Japanese, Sushi"
Eggzellent,77.10031841,28.47773187,250,0,Fast Food
High On Tea,77.09313076,28.47580623,400,0,"Cafe, Tea"
Sona Bridge Hotel,77.1,28.47,400,0,Chinese
Yo! Dimsum,77.0988037,28.4661923,200,0,"Fast Food, Chinese"
Angrezee Choupal,77.0860801,28.4827659,500,3.8,"North Indian, Chinese, Italian"
Ashoka Snacks Corner,77.0860056,28.4828445,400,0,"Street Food, Chinese, North Indian"
Chefoncalls,0,0,300,0,North Indian
Corp Kitchen,77.08986362,28.48211622,600,0,"North Indian, Chinese, Continental"
Good Food,0,0,200,0,Healthy Food
Mahek By Greenz,0,0,400,0,North Indian
Pao King,77.0826144,28.4840963,200,0,Street Food
Prabhat Fast Food Corner,77.0843715,28.490311,200,0,"Chinese, North Indian"
Shama Chicken Corner,77.0860801,28.4823177,300,0,Mughlai
Unique Food Hut,77.082573,28.4904966,600,0,"Fast Food, North Indian, Beverages"
A 1 - Snacks and food corner,77.0942076,28.4899921,350,2.5,"North Indian, Chinese, Fast Food"
Anandum,77.1034343,28.486136,400,3.2,South Indian
Apni Rasoi,77.0936335,28.4912907,400,3,"North Indian, Chinese"
Banke Bihari Bhojanalay,77.0935436,28.4934335,200,2.6,"Mithai, Street Food, North Indian"
Biryani 365,77.0957016,28.4948958,700,3.2,Mughlai
Bro's Kitchenette,77.09530905,28.48826511,350,3.3,"Fast Food, Street Food, Beverages"
Cafe Coffee Day,77.09327124,28.49457813,450,3.1,Cafe
Cafe Coffee Day,77.09158514,28.49034965,450,3.2,Cafe
Cafe Du Rendezvous,77.0998522,28.4947415,400,3.2,"Cafe, Street Food"
Cake 24x7,77.1038389,28.4874747,600,3.3,Bakery
Cake On Wheels,77.1047829,28.4874309,200,2.8,"Bakery, Desserts, Fast Food"
Cake Point,77.0939033,28.4902409,600,2.9,"Bakery, Desserts"
Cake Point,77.1038389,28.487654,600,3,"Bakery, Desserts"
Cakes Degree,77.094263,28.4923373,300,3.4,Bakery
Chateau Garlic,77.10263249,28.48750366,700,3,"North Indian, Chinese"
Chennai Express,77.0939932,28.4931181,300,3.2,"South Indian, North Indian"
Crust N Cakes,77.0922847,28.4911611,550,3.4,Bakery
Dabba Meat,77.0930322,28.4906544,550,3.4,North Indian
Deepak Rasoi,77.0951644,28.4897671,450,2.7,"North Indian, Chinese"
Foodaucity - Bum Bum Bholey Ke Chole Bhature,77.0937234,28.4938093,300,3.3,Street Food
Foodies Nation,0,0,300,3.4,"Chinese, North Indian"
Goli Vada Pav No. 1,77.0934537,28.4935145,150,3.1,Street Food
Grandma's Kitchen,77.0936335,28.49147,400,2.5,"North Indian, South Indian"
Gurgaon Hights,77.093679,28.4917895,400,2.5,North Indian
Idliss,77.0949823,28.4933028,400,3.4,"South Indian, North Indian, Chinese"
Indian Home Food,77.0934537,28.4911838,600,2.6,"North Indian, Chinese"
Jetha Lal Ka Dhabha,77.09503077,28.49332817,400,3.1,"North Indian, Chinese"
Kusum Rolls,77.092692,28.4907443,350,3.1,"Fast Food, Chinese"
Megha Vaishno Dhaba,77.0952332,28.4949836,300,3.1,North Indian
Nikhil Food Point,77.0947642,28.4899703,200,2.7,"Chinese, North Indian"
Plan B,77.0962564,28.4846488,1000,3.4,"North Indian, Chinese, Continental"
Punjabi Zaika,77.1048728,28.4872602,500,3.2,"North Indian, Mughlai, Chinese"
Rasoi,77.1046906,28.487522,500,3,"North Indian, Chinese"
Roll's Royce,77.0938134,28.4934594,200,3.2,"Fast Food, North Indian"
Shree Bikaner Misthan Bhandar,77.0941281,28.4921002,100,3.1,"Street Food, Mithai"
Smokey Pan,77.0945327,28.4899428,300,3.2,"North Indian, Greek, Mughlai"
Surprise O Meal,77.0935436,28.4911924,550,3.4,"Continental, North Indian, Chinese"
Tandoor on The Way,77.0935436,28.4931646,300,3.2,Fast Food
Tawa N Tandoor,77.0944877,28.4928519,600,2.7,"North Indian, Mughlai, Chinese"
The Paradise Biryani,77.0994974,28.4942093,700,2.9,"Biryani, North Indian"
The Royal,77.0934087,28.4936446,550,3.3,"Fast Food, Beverages"
Theka Desi Khaana,77.0948924,28.4932941,350,3,"North Indian, Chinese"
Tobasco Kitchen,77.0946676,28.4930484,500,3.2,"Fast Food, Pizza"
Tpot,77.0935436,28.4934335,400,3.2,"Fast Food, Beverages"
Uncle's Cafe,77.094263,28.4900962,350,2.7,"North Indian, Biryani, Fast Food, Chinese"
Welcome Cafeteria,77.0940363,28.4931115,600,3.3,"North Indian, Mughlai"
Yo Yo China Town,77.093805,28.49330872,400,2.8,"Chinese, North Indian, South Indian"
Caterspoint,77.1039737,28.4872636,500,4.9,"Mexican, American, Healthy Food"
Bake-a-boo,77.09623341,28.49025712,200,3.7,Bakery
Burger Hut,77.094263,28.4923373,300,3.6,"Burger, Fast Food, Chinese"
China Gatherings,77.0939033,28.4902409,550,3.5,"Chinese, Thai"
Crazy Bhukkhad,77.0924646,28.4896545,400,3.9,"North Indian, Chinese"
Deez Biryani & Kebabs,77.103659,28.4878161,800,3.7,"Biryani, North Indian, Mughlai"
Fomads,77.0943525,28.4922725,300,3.6,"North Indian, Chinese"
Happy Beings,77.094627,28.490666,500,3.5,"North Indian, Mughlai, Chinese"
InstaDozza,77.0935436,28.4934335,250,3.5,South Indian
Mom's Kitchen,77.0938134,28.4937283,300,3.5,North Indian
The Baker's Bar  ... Bakery & Cafe,77.09333796,28.49088743,400,3.6,"Italian, Lebanese, Fast Food, Bakery"
Veg Ex,77.1036643,28.4879232,500,3.8,North Indian
Volt - By Plan B,77.1021761,28.4957118,1000,3.5,"Mediterranean, Mughlai, Thai, North Indian, Chinese"
ZASTY,77.094031,28.492698,500,3.5,"Continental, North Indian, Asian"
Aahar,77.0943256,28.492384,400,2,"North Indian, South Indian, Chinese"
Chicken Bytes,77.094263,28.4923373,500,2.1,"North Indian, Mughlai, Chinese"
Flying Cakes,77.0943529,28.4924355,350,2.2,Bakery
Punjabi Tadka,77.0937234,28.4914786,500,2.2,North Indian
Coldpress Company,77.09321138,28.489834,500,4,"Healthy Food, Juices, Salad, Italian, Continental"
Crudo Juicery,77.1049154,28.4871499,400,4.3,"Beverages, Salad, Beverages"
First Eat,77.094173,28.4904461,300,4,"Healthy Food, North Indian, Continental"
Zoe,77.08978873,28.49488428,700,4.3,"Juices, Beverages, Healthy Food"
Dabba Meat,77.087429,28.4681035,550,3.1,North Indian
Kashmiri Kitchen,77.0715115,28.4739245,1000,3.4,Kashmiri
Rumi's Kitchen,77.0858383,28.4700182,500,3.4,"Biryani, Lucknowi, North Indian"
Baking Bad,77.0813069,28.4666333,1000,3.7,"Italian, Pizza"
Bamboo Boat,77.0888382,28.4614757,700,3.8,"Japanese, Tibetan, Vietnamese, Korean"
Big Jack's,77.08591864,28.46970311,800,3.5,"Continental, Burger, American"
Kebab Gali,77.0872491,28.4626173,600,3.9,"North Indian, Mughlai, Biryani"
Lucknow Mail,77.0857654,28.4700505,800,3.8,"Awadhi, North Indian, Mughlai"
Monster's Cafe,77.08598737,28.46978122,1200,3.5,"Continental, North Indian, Chinese"
Monty's Chicken Wings,77.0881933,28.461408,600,3.9,Fast Food
My Country Platter,77.0887329,28.4614598,600,3.8,"Asian, Chinese, North Indian"
SARA World Cuisine,77.0880584,28.4616192,500,3.9,"Italian, Fast Food"
Wah! Amritsar,77.0879685,28.4617002,750,3.6,"North Indian, Mughlai"
World In A Box,77.0966008,28.4834181,750,3.6,"Healthy Food, European, Continental, Salad"
Bun Intended,77.08301514,28.46624793,850,4.2,"Burger, American, Fast Food"
Cafe Gatherings,77.0875226,28.4622589,750,4.4,"Cafe, Continental"
Cafe Soul Garden,77.0888677,28.4616072,1300,4.1,"Cafe, Continental, Italian, Pizza"
Food O Gram,77.0859584,28.4699579,600,4,"North Indian, Mughlai"
Happy Hakka,77.0880135,28.46157,650,4.1,"Chinese, Asian, Thai"
Kaiser,77.088706,28.46147,650,4.1,"North Indian, Mughlai"
Pizza Central,77.087295,28.4623501,600,4.1,"Fast Food, Italian, Pizza"
Tasty Fare,77.0957635,28.4486392,600,3.4,"American, Fast Food"
Burger Point,77.0978116,28.4495295,300,3.6,"Burger, Fast Food"
Drifters Cafe,77.0951664,28.4477214,400,3.9,"Chinese, Thai, Asian"
Oh! Fudge,77.0957435,28.4486422,300,3.8,"Bakery, Desserts"
Anjlika,77.0992983,28.447904,400,3.1,"Bakery, Desserts, Fast Food"
IZU,77.0990285,28.4481471,1100,3.4,"Japanese, Sushi"
Sugar & Spice - Le Marche,77.0994781,28.4476522,800,2.9,"Bakery, Fast Food"
Bizibean,77.0992084,28.4480747,550,3.6,Cafe
ChandChini,77.09939003,28.4478212,800,3.8,"North Indian, Mithai, Chinese, Street Food"
Coffee & Chai Co.,77.0992156,28.4480264,1100,3.6,"Italian, Mexican, Cafe"
Greek Food & Beyond,77.0990488,28.4479922,1200,3.6,"Greek, Mediterranean"
Mediumwelldone,77.0994781,28.4476522,1375,3.5,"American, European, North Indian"
Sonya Bakery Cafe,77.0991634,28.4482945,350,3.5,"Bakery, Desserts, Beverages"
Soul & Spice Co.,77.0991184,28.448066,1000,3.8,"North Indian, Street Food, Beverages"
7 Degrees Brauhaus,77.0992983,28.448173,1375,4.2,"Continental, North Indian, European, Finger Food"
Cafe Amaretto,77.0991184,28.4481557,1375,4.1,"Cafe, Italian, European, Bakery"
Sibang Bakery,77.0993432,28.4472358,500,4.1,"Bakery, Desserts, Beverages"
The Hangout by 1861,77.0993882,28.4477333,1375,4,"Continental, American, Italian"
The Mad Teapot/The Wishing Chair,77.0994781,28.4476522,1000,4.4,"Cafe, Italian, Bakery"
Ninkasi Imperial Brews & Cookery,77.0526236,28.4616176,1375,4.2,"North Indian, Asian, European"
Zaffran,77.0525451,28.4616552,1375,4.1,"North Indian, Mughlai"
Spiritual Bar & Lounge-DoubleTree by Hilton,77.104693,28.4221468,1375,3.4,"Pizza, Italian"
The Food Store - DoubleTree by Hilton,77.104693,28.4221468,1375,3.6,"European, Italian"
Barista,77.0808644,28.4788581,650,3.3,Cafe
Burger King,77.0807295,28.4792485,500,3.4,"Burger, Fast Food"
Club Mojo,77.0808194,28.4788089,1375,2.6,"North Indian, Chinese"
KFC,77.0808644,28.479127,500,2.6,"American, Fast Food, Burger"
Not Just Paranthas,77.0808644,28.4788581,1100,2.7,North Indian
Shree Rathnam,77.0806845,28.4787511,800,2.9,"South Indian, North Indian, Chinese"
Mogli's Coffee,77.08076142,28.47907544,150,3.8,Cafe
Pind Balluchi,77.0931234,28.4757509,800,2.6,"North Indian, Mughlai"
Sip n Bite,77.09314417,28.47571545,500,3.2,"North Indian, Chinese, Continental"
Abar Khabo,77.09307712,28.47579915,550,3.6,Bengali
Moti Mahal Delux,77.093094,28.476268,1000,3.6,North Indian
The Lost Mughal,77.09335204,28.47565209,700,3.8,"North Indian, Mughlai, Biryani"
Fortune Deli - Fortune Select Excalibur,77.0411995,28.4164952,1000,3.6,Bakery
India on my Plate - Fortune Select Excalibur,77.0411995,28.4164952,1375,4,"North Indian, Mughlai"
Orchid - Fortune Select Global,77.1031649,28.4818475,1375,2.6,"North Indian, Chinese, Continental"
Hungry Buffoons,77.0950645,28.460459,300,2.7,"North Indian, Italian, Mexican"
Karim's,77.0948924,28.4603029,1000,2.8,"Mughlai, North Indian"
Manhattan Brewery & Bar Exchange,77.0950273,28.460271,1375,4.6,"Finger Food, American, Continental, North Indian, Italian"
Di Miso,77.0946226,28.460546,1375,3.6,"Korean, Japanese, Chinese, Asian"
Kuuraku,77.0946989,28.4604087,1250,3.9,Japanese
Vapour Bar Exchange,77.0949823,28.4603115,1375,3.8,"Continental, Finger Food, Chinese, North Indian"
19 Flavours Biryani,77.0954319,28.4604444,700,4.1,"Mughlai, Hyderabadi"
Bhai Ji Foods,77.0971853,28.4543812,400,3.3,"North Indian, Chinese"
Captain Bill$ Deliverz,77.08932303,28.43230959,1000,2.7,"North Indian, Chinese, Fast Food"
Curry n Phulka,77.0979495,28.4494782,550,2.8,"North Indian, Chinese"
Jaguar,77.0986339,28.4499246,800,2.8,"Chinese, North Indian"
Jalsa Lounge,77.0941432,28.4667953,850,3.2,"North Indian, Chinese"
Lord of Grillz,77.1042874,28.4372372,800,3.2,"Chinese, North Indian, Italian, Continental"
Midnight Cravings Beyond Control,77.0975132,28.4369224,800,3.3,"North Indian, Mughlai, Chinese"
Outback,77.1047562,28.4324764,1000,3.4,"Continental, North Indian"
The Cinnamon Kitchen,77.0974101,28.4370522,600,3.4,"North Indian, Chinese"
Dudleys,77.102108,28.441123,1000,4.6,"American, Continental, Burger"
56 Ristorante Italiano,77.1019957,28.4400925,1375,3.7,Italian
All Time Cafe,77.1039229,28.4393747,500,3.6,"North Indian, Chinese, Thai"
Baba's,77.1042012,28.434018,900,3.6,"North Indian, Mughlai"
Chilli Indiana,77.1032552,28.4396385,500,3.8,Italian
Go Kylin,77.09865443,28.43823059,1375,3.5,"Japanese, Chinese, Asian, Malaysian, Thai, Vietnamese"
Just for Chai,77.1025313,28.4411247,450,3.5,Cafe
Kabab Mistri,77.1004268,28.4372138,550,3.6,"North Indian, Mughlai, Biryani"
Nashta,77.10256,28.441297,700,3.7,"Healthy Food, Continental"
Nooba,77.0987588,28.4461485,1375,3.6,Chinese
Side Wok,77.0971853,28.4549192,1375,3.9,"Burmese, Chinese, Japanese, Malaysian, Thai"
Takamaka,77.1015446,28.4451163,1375,3.9,"North Indian, Continental, Italian"
The Ark,77.105038,28.4218116,1375,3.7,"Seafood, Mediterranean"
The Gathering Hut,77.0974101,28.4545373,700,3.5,"North Indian, Chinese"
Wangchuk's Ladakhi Kitchen,77.0940831,28.4663219,850,3.6,"Tibetan, Nepalese"
Daawat-e-Kashmir,77.109638,28.4247729,1200,4.2,"Kashmiri, Mughlai"
La Pino'z Pizza,77.10288294,28.43849033,1000,4,"Pizza, Mexican, Chinese, Italian"
The Diet Kitchen,77.0956926,28.4604777,700,4,"Continental, Healthy Food"
Om Sweets & Snacks,77.0904863,28.4211432,500,3.1,"North Indian, South Indian, Street Food, Mithai"
Subway,77.0906308,28.4210196,500,2.8,"American, Fast Food, Salad, Healthy Food"
Taste of Tamil Nadu,77.0904863,28.4208742,400,3.1,"South Indian, Chinese, North Indian"
The Bridge - Hotel Clark Inn Gurgaon,77.033939,28.4576098,1375,2.8,"North Indian, Chinese"
Illusion The Lounge Bar - Hotel Clark Inn Gurgaon,77.0338804,28.4576265,1375,0,"North Indian, Chinese"
